id,kategooria,alamteema,lahendusvotted
2006-lahg-07,staatika,tasakaal ja jõud,Rakenda Newtoni II seadust jõudude ja momentide tasakaalu tingimuste jaoks.
2006-lahg-08,gaasid,niiske õhk,"Kasutage ideaalgaasi seadust ja suhtelise niiskuse definitsiooni, et leida kuiva ja niiske õhu tiheduste suhe."
2006-lahg-09,elektrostaatika,elektrostaatiline jõud,Kasutage energia jäävuse seadust ja võrrelge potentsiaalsete energiate muutust hõõrdejõu tööga.
2006-lahg-10,dünaamika,pidurdus,"Kasutage graafiku pindala leidmiseks, et arvutada pidurdusaeg ja pidurdusmaa."
2006-v2g-01,kinemaatika,liikumine autode suhtes,"Kasutage suhtelise liikumise põhimõtteid ja arvutage autode arv, kasutades nende kiirus ja vahemaa."
2006-v2g-02,termodünaamika,ringprotsess,"Kasutage $P$-$V$ graafikut, et leida tsükli aluse pindala, mis näitab gaasi tehtud tööd."
2006-v2g-03,kinemaatika,Doppleri efekt,"Kasutage Doppleri seadust, et avaldada laeva kiirus signaalide sageduste kaudu."
2006-v2g-04,dünaamika,kaldpind,"Kasutage kiiruskomponente ja liikumisvõrrandeid, et leida palli positsioon pärast mitmeid põrkeid."
2006-v2g-05,gaasid,ideaalse gaasi seadus,Kasutage ideaalse gaasi olekuvõrrandit ja seostage rõhud ja temperatuurid.
2006-v2g-06,geomeetriline optika,prisma murdumine,"Kasutage murdumisseadust ja väikeste nurkade lähendust, et leida murdumisnurgad ja pildi asukoht."
2006-v2g-07,elektriahelad,kondensaatorite laengud,"Kasutage laengu jäävuse seadust ja kondensaatorite mahtuvust, et leida laengud pärast stabiliseerumist."
2006-v2g-08,elektrostaatika,elektriväli ja jõud,Kasutage jõudude tasakaalu seadust ja avaldage elektriväli kondensaatori plaatide vahel.
2006-v2g-09,vedelike mehaanika,veejuga,"Kasutage voolukiirus ja energia jäävuse seadust, et leida voolukiirus erinevates punktides ja arvutada täitmise aeg."
2006-v2g-10,dünaamika,impulsi jäävus,"Kasutage impulsi jäävuse seadust ja arvutage hõõrdejõudude töö, et leida löökide arv, mis on vajalik vaia maasse löömiseks."
2006-v3g-01,elektriahelad,pinged ja voolud,Kasutage Kirchhoffi seadusi pingete ja voolude analüüsimiseks jadaühendustes.
2006-v3g-02,geomeetriline optika,nõguspeegel,"Kasutage kiirte peegeldumise seadust ja konstruktsiooni, et leida fookus ja eseme kujutis."
2006-v3g-03,dünaamika,kummipaela energia,"Kasutage energia jäävuse seadust ja kivi liikumise analüüsi, et leida vajalikud kaugused ja jõud."
2006-v3g-04,vedelike mehaanika,Bernoulli seadus,Kasutage Bernoulli seadust ja mehaanilise energia jäävuse põhimõtet.
2006-v3g-05,dünaamika,peegeldustegur,"Kasutage pöördvõrdelisuse seadust valgustatuse ja säriaja vahel, et leida Kuu pinna keskmine peegeldustegur."
2006-v3g-06,elektrostaatika,elektronkahur,"Kasutage impulsi jäävuse seadust ja elektroni kineetilise energia valemit, et leida vajalik tõstejõud."
2006-v3g-07,termodünaamika,soojusvahetus,"Kasutage graafiku puutuja tõusu muutumist, et leida tasakaalutemperatuur, kus soojuskadude võimsus võrdub soojapuhuri võimsusega."
2006-v3g-08,termodünaamika,soojuskiirgus,"Kasutage Stefan-Boltzmanni seadust soojusvoo arvutamiseks ja analüüsige kiirgusvõimet, et leida soojusvoo vähenemine ekraani lisamisel."
2006-v3g-09,geomeetriline optika,valguse intensiivsus,"Kasutage peeglite fookuskauguste seoseid ja paralleelse kiirtekimbu omadusi, et analüüsida valguse käitumist süsteemis."
2006-v3g-10,dünaamika,kuulide liikumine,Rakenda Newtoni II seadust ja analüüsi süsteemi liikumist šarniirse ühenduspunktiga seotud taustsüsteemis.
2007-lahg-01,dünaamika,elastne kokkupõrge,"Kasutage impulsi ja energia jäävuse seadusi, et analüüsida pallide liikumist ja kokkupõrget."
2007-lahg-02,staatika,jõudude tasakaal,Kasutada Newtoni seadusi ja jõumomentide tasakaalu.
2007-lahg-03,gaasid,ideaalse gaasi seadus,"Kasutage ideaalse gaasi olekuvõrrandit, et leida seos algse ja pärastise õhu ruumala vahel."
2007-lahg-04,geomeetriline optika,murdumisnäitaja,"Kasutage Snelli seadust ja täisnurksete kolmnurkade omadusi, et leida murdumistegur."
2007-lahg-05,kinemaatika,paraboolne trajektoor,"Kasutage paraboolse liikumise võrrandeid, et leida minimaalne kiirus hüppe sooritamiseks."
2007-lahg-06,dünaamika,impulsi jäävus,Kasutage impulsi jäävuse seadust ja mehaanilise energia jäävuse põhimõtteid.
2007-lahg-07,elektrostaatika,energia jäävuse seadus,"Kasutage energia jäävuse seadust, et seostada gravitatsiooniline ja elektriline potentsiaalne energia."
2007-lahg-08,termodünaamika,soojuslik tasakaal,"Kasuta soojuslikku tasakaalu, et seostada spiraali eralduv võimsus ja keskkonna soojushulk."
2007-lahg-09,geomeetriline optika,läätsed ja suurendustegurid,"Kasutage läätse valemit ja suurendustegureid, et seostada pliiatsi otste kaugused ja nende kujutiste omadused."
2007-lahg-10,magnetism,induktsioon,"Kasutage Faraday seadust ja jõumomendi tasakaalu, et leida silindri pöörlemise nurkkiirus."
2007-v2g-01,dünaamika,vaba langemine,"Kasutage vaba langemise valemit, et leida langemise aeg ja seejärel arvutage horisontaalne kaugus."
2007-v2g-02,kinemaatika,liikumise analüüs,"Kasutage liikumise võrrandeid, et leida autode kiirus ja aeg teel A ja C."
2007-v2g-03,termodünaamika,energia jäävuse seadus,"Kasutage energia jäävuse seadust, et seostada segude temperatuure ja ruumalade suhteid."
2007-v2g-04,gaasid,õhurõhk ja hõljumine,Kasutage ideaalse gaasi olekuvõrrandit ja rõhu muutust sügavuse funktsioonina.
2007-v2g-05,gaasid,tuuleenergia,"Kasutage kineetilise energia ja võimsuse valemeid, et leida tuuliku elektriline võimsus."
2007-v2g-06,geomeetriline optika,varjud,"Kasutage puutujate ja nurkade poolitajate konstruktsioone, et leida valgusallika lõikejoon."
2007-v2g-07,elektriahelad,takistite valmistamine,"Kasutage takistuse valemit ja temperatuurikoefitsiente, et leida vajalikud traadi ja pulga pikkused."
2007-v2g-08,elektriahelad,kondensaatorite ühendamine,Kasutage mahtuvuste jada- ja rööpühenduse reegleid ning lahendage saadud ruutvõrrand.
2007-v2g-09,staatika,jõumomentide tasakaal,Rakenda jõumomentide tasakaalu ja arvuta maksimaalne toetav moment.
2007-v2g-10,taevamehaanika,gravitatsiooniline kõverus,"Kasutage geomeetrilisi suhteid ja väikeste nurkade lähendust, et leida tähe kujutise nurkläbimõõt."
2007-v3g-01,termodünaamika,soojusvõimsus,"Kasutage Ohmi seadust ja soojusvõimsuse valemit, et leida suhe P_H ja P_V vahel."
2007-v3g-02,taevamehaanika,Kepleri seadused,"Kasutage Kepleri seadust ja trigonometrilisi suhteid, et leida orbitaalraadiuste suhe ja tiirlemisperioodide vahe."
2007-v3g-03,geomeetriline optika,kiilukujuline plaat,Kasutage Snelli seadust ja geomeetrilisi suhteid kiilu puhul.
2007-v3g-04,dünaamika,kineetiline energia,Kasutage kineetilise energia valemit ja mehaanilise pinge tasakaalu analüüsi.
2007-v3g-05,kinemaatika,optimaalne liikumine,"Kasutage voolukiirus(t) ja laeva kiirus(t) seoseid, et leida stardi- ja finišihetke kiirus(t) võrdsuse tingimus."
2007-v3g-06,gaasid,ideaalgaasid ja soojusülekanne,"Kasutage ideaalgaaside seadust ja soojusmahtuvuse valemeid, et leida temperatuuri muutused ja rõhud."
2007-v3g-07,termodünaamika,soojusvahetus,"Kasutage graafilist konstrueerimist, et leida tasakaalulise temperatuuri punktid, järgides soojusvahetuse võrdelisust."
2007-v3g-08,geomeetriline optika,täielik sisepeegeldumine,Uuri jooniselt sisepeegeldumise piirjuhtu ja kasuta geomeetrilisi suhteid raadiuste vahel.
2007-v3g-09,geomeetriline optika,kumerpeegel,"Kasutage optilise telje ja fokaaltasandi konstruktsiooni, et leida kõverustsenter ja näiv kujutis."
2007-v3g-10,magnetism,traadi kuju ja pinge,Kasutage jõudude tasakaalu tingimust ja geomeetrilisi seoseid kaare raadiuse leidmiseks.
2008-lahg-01,kinemaatika,ühtlane kiirendus,Kasutada võrrandeid ühtlaselt kiireneva liikumise jaoks.
2008-lahg-02,dünaamika,energia jäävuse seadus,"Kasutage energia jäävuse seadust, et seostada potentsiaalne energia ja hõõrdejõu ületamiseks vajalik töö."
2008-lahg-03,dünaamika,õhuvool,Kasutage massi jäävuse seadust ja vooluhulga võrdlemist rongi ja tunneli vahel.
2008-lahg-04,elektriahelad,Kirchhoffi seadused,Rakenda Kirchhoffi seadusi vooluringi analüüsimiseks.
2008-lahg-05,dünaamika,energia jäävuse seadus,Kasutage energia jäävuse seadust ja leidke kiiruskomponendi maksimumi tingimus.
2008-lahg-06,gaasid,ideaalsed gaasid,"Kasutage termodünaamika I seadust ja ideaalse gaasi seadust, et leida temperatuurimuutus."
2008-lahg-07,elektrostaatika,elektronide kiirus,"Kasutage Newtoni seadusi ja kinemaatika valemeid, et leida elektronide algkiirus plaatide vahel."
2008-lahg-08,laineoptika,peegeldus ja faas,"Kasutada peegeldumise tingimusi ja optiliste teede pikkuse erinevust, et leida kile paksus."
2008-lahg-09,geomeetriline optika,horisont ja mõõtmine,"Kasutage joonise mõõtmisproportsioone, et leida poi diameeter, arvestades fotoaparaadi kõrgust ja horisondi asukohta."
2008-lahg-10,termodünaamika,soojuslik tasakaal,"Kasutage graafilist meetodit, et leida erijuhtivuse ja temperatuuride vahe lõikepunkt."
2008-v2g-01,staatika,jõumomentide tasakaal,Kasutada jõumomentide tasakaalu tingimust.
2008-v2g-02,kinemaatika,autode liikumine,Kasutage suhtelise kiirusvektori leidmiseks vektorite vahet ja määrake trajektoor teise auto suhtes.
2008-v2g-03,termodünaamika,hõõrdumine,"Kasutage hõõrdejõu ja läbitud tee pikkuse korrutist, et leida soojusenergia vabanemine."
2008-v2g-04,termodünaamika,rõhu muutumine,Kasutage ideaalgaasi seadust ja isohorilist protsessi rõhu ja temperatuuri seose leidmiseks.
2008-v2g-05,termodünaamika,soojusülekanne,"Kasutada soojushulga ja vee soojusmahtuvuse seoseid, et leida temperatuuri muutus."
2008-v2g-06,dünaamika,impulsi jäävus,Kasutage impulsi jäävuse seadust ja tükikeste trajektooride analüüsi kiirus- ja kaugussuhete leidmiseks.
2008-v2g-07,elektrostaatika,superpositsiooniprintsiip,"Kasutage superpositsiooniprintsiipi, et leida välja tugevus kuubi keskpunktis, arvestades auguga kuubi ja negatiivse laenguga ruudu mõju."
2008-v2g-08,elektriahelad,takistite valik,"Kasutage Kirchhoffi seadusi, et koostada võrrandite süsteem takistite väärtuste leidmiseks."
2008-v2g-09,dünaamika,plokkide liikumine,Rakenda Newtoni II seadust ja analüüsi niidi venimatuse tingimust.
2008-v2g-10,geomeetriline optika,murdumine,"Rakenda Snelli seadust ja väikeste nurkade lähendust, et leida kärbse pea tegelik sügavus."
2008-v3g-01,dünaamika,kineetiline energia,"Kasutage energia muundumise seadust, et leida kineetiline energia maksimaalses kõrguses."
2008-v3g-02,dünaamika,põrked ja energia,"Kasutage geomeetrilist jada, et leida iga põrke vahelise aja summa potentsiaalse energia kaudu."
2008-v3g-03,gaasid,kineetiline energia,Kasutage ideaalgaasi seadust ja keskmise kineetilise energia valemit.
2008-v3g-04,staatika,sümmeetria,"Kasutage sümmeetriat ja proportsioone, et leida maja kõrgus merepinnast."
2008-v3g-05,geomeetriline optika,valguse heledus vees,"Kasutage nurkade seoseid ja heleduste suhte arvutamiseks, arvestades peegeldumist ja murdumisnäitajat."
2008-v3g-06,termodünaamika,pindpinevus,Kasutage mullide lisarõhu arvutamiseks pindpinevuse valemit $P = \frac{2\sigma}{r}$.
2008-v3g-07,elektriahelad,takistus,Leidke traadi lühikeste juppide takistused ja summeerige need kogu traadi ulatuses.
2008-v3g-08,vedelike mehaanika,vedeliku võnkesagedus,"Kasutage vedrupendli analoogiat, et leida vedeliku võnkesagedus, arvestades toru nurkade mõju."
2008-v3g-09,staatika,stabiilsus,"Kasutage jõudude ja jõumomentide tasakaalu tingimusi, et leida varda pikkus."
2008-v3g-10,magnetism,solenoidi magnetväli,"Kasutage magnetvälja energia valemit ja töö definitsiooni, et leida vajalik jõud."
2009-lahg-01,kinemaatika,keskmine kiirus,"Kasutage kiirus, kaugus ja aeg seoseid, et leida kolmanda ratturi keskmine kiirus."
2009-lahg-02,geomeetriline optika,läätse fookuskaugus,Kasutage sarnaseid kolmnurki ja läätse valemit.
2009-lahg-03,elektriahelad,takistuse muutumine,Kasutage Ohmi seadust ja analüüsige voolu ja pinget erinevates režiimides.
2009-lahg-04,elektrostaatika,potentsiaalne energia,Rakenda energia jäävuse seadust ja arvuta potentsiaalne energia rõnga poolt tekitatud elektriväljas.
2009-lahg-05,taevamehaanika,ringorbiit,"Kasutage gravitatsioonijõu ja tsentrifugaaljõu tasakaalu, et leida geostatsionaarse orbiidi raadius ja satelliidi kiirus."
2009-lahg-06,vedelike mehaanika,toru deformatsioon,Kasutage Hooke'i seadust ja analüüsige kaarekujulise toru osa jõudude tasakaalu.
2009-lahg-07,gaasid,rõhumuutused,"Kasutage ideaalgaasi seadust ja rõhumuutuste analüüsi, et leida rõhk väiksemas anumas temperatuurimuutuse korral."
2009-lahg-08,geomeetriline optika,kapillaartoru,"Kasutage murdumisseadust ja analüüsige geomeetrilisi suhteid kolmnurgas, et leida tingimused $r$, $R$ ja $n$."
2009-lahg-09,staatika,hõõrdumine,"Kasutage jõumomentide tasakaalu tingimust, et leida kriitiline masside suhe, mille korral kuul A hakkab libisema."
2009-lahg-10,kinemaatika,helifrondi levimine,"Uurige helifrondi levimist õhu taustsüsteemis, arvestades frondi pindala ja helivõimsuse jaotumist."
2009-v2g-01,taevamehaanika,gravitatsioon ja kesktõmbekiirus,"Kasutage Newtoni II seadust ja gravitatsioonijõu tasakaalu, et leida asteroidi raadius."
2009-v2g-02,dünaamika,impulsi jäävus,Kasutage impulsi jäävuse seadust ja analüüsige osade liikumist pärast lagunemist.
2009-v2g-03,termodünaamika,soojuslik tasakaal,Kirjuta soojusliku tasakaalu võrrandid ja lahenda need erisoojus $c_x$ leidmiseks.
2009-v2g-04,elektriahelad,takistid ja pinge,Kasutage Ohmi seadust ja pingelangude analüüsi takistitel.
2009-v2g-05,dünaamika,kasutegur,Kasutage jõu ja kiirusest saadud võimsuse suhteid mootori ja auto liikumise vahel.
2009-v2g-06,elektrostaatika,liikuv laeng,"Kasutage impulsi ja kiirusvõrrandeid, et leida osakese trajektoor ja keskmine kiirus."
2009-v2g-07,geomeetriline optika,sisepeegeldus,"Kasutage murdumisseadust ja sisepeegeldumise kriitilist nurka, et leida klaasi murdumisnäitaja."
2009-v2g-08,geomeetriline optika,peegeldus ja peegelduse peegelduse leidmine,"Kasutage sümmeetriat ja peegelduste omadusi, et leida peeglite ja valgusallika asukohad."
2009-v2g-09,gaasid,korstna tõmme,Kasutage Bernoulli võrrandit rõhu ja kiirusvahe seose leidmiseks.
2009-v2g-10,taevamehaanika,kaabli pinge,Kasutage gravitatsioonijõudude tasakaalu ja kaabli pinge arvutamiseks.
2009-v3g-01,staatika,hõõrdetegur,"Kasutage geomeetriat ja tasakaalu seadusi, et leida hõõrdetegur nurga kaudu."
2009-v3g-02,staatika,nööri pinge,Kasutada Newtoni II seadust ja analüüsida jõude x- ja y-teljel.
2009-v3g-03,elektriahelad,kondensaatorite tasakaal,Kasutage laengu jäävuse seadust ja pingete võrdsust kondensaatorite vahel.
2009-v3g-04,gaasid,temperatuuri tõus,"Kasutage ideaalse gaasi olekuvõrrandit ja soojushulkade võrdlemist, et leida õhu temperatuurimuutus."
2009-v3g-05,kinemaatika,keskmine kiirus,"Kasutage keskmise kiirusena ja aja seoseid, et leida peatusaeg kahe kiirusperioodi vahel."
2009-v3g-06,termodünaamika,soojusvahetus,Kasutada soojusliku tasakaalu tingimust ja arvutada soojuskaod ning sissetuleva õhu soojendamise mõju.
2009-v3g-07,geomeetriline optika,konfokaalne mikroskoop,Kasutage kiirte käikude joonistamist ja sarnaste kolmnurkade omadusi.
2009-v3g-08,kinemaatika,paadi liikumine,"Kasutage kiiruste kolmnurka ja trigonomeetrilisi suhteid, et leida jõe voolukiirus ja vee sügavus."
2009-v3g-09,elektrostaatika,kosmoseprügi mõju,"Kasutage energia jäävuse seadust ja massikeskme liikumiskiirus, et leida kuulide minimaalne kaugus."
2009-v3g-10,laineoptika,interferents,Kasutage interferentsi tingimusi ja optiliste teepikkuste vahe arvutamist.
2010-lahg-01,dünaamika,inertsimoment,"Võrdle kerade veeremiskiirus ja pöörlemisega seotud kineetiline energia, et eristada kerade sisemust."
2010-lahg-02,termodünaamika,energia jäävuse seadus,"Kasutage energia jäävuse seadust, et seostada raua jahtumise ja vee soojendamise ning aurustumise energiad."
2010-lahg-03,dünaamika,veerev silinder,"Kasutage jõudude tasakaalu ja energia jäävuse seadust, et leida eraldumiskõrgus."
2010-lahg-04,geomeetriline optika,klaaskuulide murdumisnäitaja,"Kasutage murdumisseadust ja väikeste nurkade lähendust, et leida murdumisnäitaja."
2010-lahg-05,dünaamika,energia jäävuse seadus,"Kasutage energia jäävuse seadust, et võrrelda kiirusel, kui maaler laseb redelist lahti ja kui ta klammerdub redeli külge."
2010-lahg-06,elektrostaatika,ioonide kiirus,"Kasutage energia jäävuse seadust ja impulsi jäävuse seadust, et leida vajalik ksenooni mass."
2010-lahg-07,elektrostaatika,potentsiaal ja laengud,Kasutage potentsiaali superpositsiooni ja lahendage saadud võrrandid kärbse kauguse leidmiseks laengust.
2010-lahg-08,magnetism,laeng ja magnetväli,Kasutage tsüklotronperioodi ja impulsi muutuse seoseid osakese trajektoori skitseerimiseks.
2010-lahg-09,staatika,hõõrdumine,"Kasutage jõudude tasakaalu seadust ja kolmnurga omadusi, et leida kriitiline nurk."
2010-lahg-10,gaasid,rakettmootor,"Kasutage energia jäävuse seadust ja adiabaatilise paisumise põhimõtteid, et leida veojõud gaasi massi ja kiirusest."
2010-v2g-01,dünaamika,vaba langemine,"Kasutame vaba langemise valemit, et leida kiirus ja kukkumise aeg."
2010-v2g-02,termodünaamika,soojusvahetus,"Kasutage energia jäävuse seadust, et võrdsustada jõhvikate soojendamiseks kulunud soojushulk vee jahtumisega."
2010-v2g-03,geomeetriline optika,läätsede paigutus,"Kasutage läätsede fookuste sarnasuse seadust ja kolmnurkade sarnasust, et leida läätsede vahekaugus."
2010-v2g-04,dünaamika,elastne põrge,Kasutage energia säilitamise seadust ja kiirus- ja kõrgusvahe suhteid.
2010-v2g-05,termodünaamika,soojusvoog,Kasutage soojusvoo tasakaalu seadust ja arvestage faaside paksuste suhet.
2010-v2g-06,dünaamika,energia säilitamine,"Kasutage energia säilitamise seadust, et seostada potentsiaalne energia ja kineetiline energia."
2010-v2g-07,elektriahelad,kondensaatorite laadimine,"Kasutage patarei võimsuse ja kondensaatori energia tuletist aja järgi, et leida energia salvestamise kiirus."
2010-v2g-08,geomeetriline optika,kriitiline nurk,Kasutage murdumisseadust ja kriitilise langemisnurga valemit.
2010-v2g-09,magnetism,elektroni kõrvalekalle,"Kasutage Lorentzi jõu ja kesktõmbekiiruse võrdsust, et leida ringjoone raadius ja analüüsige elektroni trajektoori sõltuvust algkiirusest."
2010-v2g-10,staatika,hõõrdetegur,"Kasutage jõudude ja jõumomentide tasakaalu tingimusi, et analüüsida torude vahelisi jõude."
2010-v3g-01,dünaamika,kesktõmbekiirus,Kasutada Pythagorase teoreemi silla kõverusraadiuse leidmiseks ja jõudude tasakaalu analüüsi auto mõju hindamiseks.
2010-v3g-02,termodünaamika,energia jäävuse seadus,Kasutage energia jäävuse seadust ja voolukiirusest tulenevaid seoseid.
2010-v3g-03,elektriahelad,maksimaalne võimsus,"Leidke graafikult punkt, kus koormisel eralduv võimsus $UI$ on maksimaalne."
2010-v3g-04,staatika,hammasrattad,Kasutage jõumomentide tasakaalu hammasrataste keskpunktide suhtes.
2010-v3g-05,staatika,stabiilsus,"Kasutage potentsiaalse energia muutuse analüüsi, et leida tingimused stabiilseks asendiks."
2010-v3g-06,gaasid,aururõhk,"Kasutage rõhkude tasakaalu seadust, et leida minimaalne temperatuur, mille juures aururõhk vastab vajalikele tingimustele."
