nr,kategooria,alamteema
128,geomeetriline optika,optiline tugevus
129,elektriahelad,hõõgniidi takistus
130,geomeetriline optika,fookuskaugus
131,gaasid,õhu tihedus
132,dünaamika,hõõrdetegur
133,elektriahelad,must kast
134,dünaamika,hõõrdejõud
135,elektriahelad,mõõteriista šunt
136,elektriahelad,mõõteriista šunt
137,elektriahelad,hõõgniidi takistus
138,staatika,kang
139,dünaamika,õhujoa kiirus
140,geomeetriline optika,suurendus
141,dünaamika,õhutakistus
142,dünaamika,elastsuse energia
143,dünaamika,hõõrdetegur
144,staatika,jõumoment
145,elektriahelad,hõõgniidi takistus
146,geomeetriline optika,murdumisnäitaja
147,dünaamika,hõõrdetegur
148,geomeetriline optika,fookuskaugus
149,vedelike mehaanika,tihedus
150,elektriahelad,hõõgniidi temperatuur
151,staatika,kang
152,vedelike mehaanika,tihedus
153,geomeetriline optika,kumerpeegel
154,elektriahelad,must kast
155,staatika,masskese
156,elektriahelad,must kast
157,dünaamika,painde tugevus
158,dünaamika,hõõrdetegur
159,elektriahelad,must kast
160,elektriahelad,sisetakistus
161,elektriahelad,must kast
162,dünaamika,hõõrdetegur
163,elektriahelad,eritakistus
164,dünaamika,hõõrdetegur
165,dünaamika,hõõrdumise soojus
166,vedelike mehaanika,pindpinevus
167,dünaamika,hõõrdetegur
168,vedelike mehaanika,tihedus
169,geomeetriline optika,täielik sisepeegeldus
170,elektriahelad,potentsiomeeter
171,elektriahelad,dioodi karakteristik
172,dünaamika,hõõrdetegur
173,staatika,jõumoment
174,gaasid,rõhk
175,geomeetriline optika,murdumisnäitaja
176,elektriahelad,must kast
177,elektriahelad,sisetakistus
178,staatika,kang
179,vedelike mehaanika,pindpinevus
180,vedelike mehaanika,pindpinevus
181,dünaamika,hõõrdetegur
